Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543277,Laxmi Organic Industries Limited,LXCHEM,Laxmi Organic Industries Ltd,Active,A ,2.00,INE576O01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
543278,Kalyan Jewellers India Limited,KALYANKJIL,Kalyan Jewellers India Ltd,Active,A ,10.00,INE303R01014,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
543280,Nazara Technologies Limited,NAZARA,Nazara Technologies Ltd,Active,A ,4.00,INE418L01021,Digital Entertainment,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Digital Entertainment
543287,Macrotech Developers Limited,LODHA,Macrotech Developers Ltd,Active,A ,10.00,INE670K01029,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
543299,Shyam Metalics and Energy Limited,SHYAMMETL,Shyam Metalics and Energy Ltd,Active,A ,10.00,INE810G01011,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
543300,Sona BLW Precision Forgings Limited,SONACOMS,Sona BLW Precision Forgings Ltd,Active,A ,10.00,INE073K01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543306,Dodla Dairy Limited,DODLA,Dodla Dairy Ltd,Active,A ,10.00,INE021O01019,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
543308,Krishna Institute of Medical Sciences Limited,KIMS,Krishna Institute of Medical Sciences Ltd,Active,A ,2.00,INE967H01025,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
543311,India Pesticides Limited,IPL,India Pesticides Ltd,Active,A ,1.00,INE0D6701023,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
543317,G R Infraprojects Limited,GRINFRA,G R Infraprojects Ltd,Active,A ,5.00,INE201P01022,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
543318,Clean Science and Technology Limited,CLEAN,Clean Science and Technology Ltd,Active,A ,1.00,INE227W01023,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
543320,Zomato Limited,ZOMATO,Zomato Ltd,Active,A ,1.00,INE758T01015,E-Retail/ E-Commerce,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
543322,Glenmark Life Sciences Limited,GLS,Glenmark Life Sciences Ltd,Active,A ,2.00,INE03Q201024,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
543325,Rolex Rings Limited,ROLEXRINGS,Rolex Rings Ltd,Active,A ,10.00,INE645S01016,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543330,Devyani International Limited,DEVYANI,Devyani International Ltd,Active,A ,1.00,INE872J01023,Restaurants,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
543333,CarTrade Tech Limited,CARTRADE,CarTrade Tech Ltd,Active,A ,10.00,INE290S01011,E-Retail/ E-Commerce,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
543334,Nuvoco Vistas Corporation Limited,NUVOCO,Nuvoco Vistas Corporation Ltd,Active,A ,10.00,INE118D01016,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
543335,Aptus Value Housing Finance India Limited,APTUS,Aptus Value Housing Finance India Ltd,Active,A ,2.00,INE852O01025,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
543336,Chemplast Sanmar Limited,CHEMPLASTS,Chemplast Sanmar Ltd,Active,A ,5.00,INE488A01050,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
543349,Ami Organics Limited,AMIORG,Ami Organics Ltd,Active,A ,10.00,INE00FF01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
543350,Vijaya Diagnostic Centre Limited,VIJAYA,Vijaya Diagnostic Centre Ltd,Active,A ,1.00,INE043W01024,Healthcare Service Provider,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
543358,Sansera Engineering Limited,SANSERA,Sansera Engineering Ltd,Active,A ,2.00,INE953O01021,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543367,Paras Defence and Space Technologies Limited,PARAS,Paras Defence and Space Technologies Ltd,Active,A ,10.00,INE045601015,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
543374,Aditya Birla Sun Life AMC Limited,ABSLAMC,Aditya Birla Sun Life AMC Ltd,Active,A ,5.00,INE404A01024,Asset Management Company,Equity,Financial Services,Financial Services,Capital Markets,Asset Management Company
543384,FSN E-Commerce Ventures Limited,NYKAA,FSN E-Commerce Ventures Ltd,Active,A ,1.00,INE388Y01029,E-Retail/ E-Commerce,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
543387,S.J.S. Enterprises Limited,SJS,S.J.S. Enterprises Ltd,Active,A ,10.00,INE284S01014,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
543390,PB Fintech Limited,POLICYBZR,PB Fintech Ltd,Active,A ,2.00,INE417T01026,Financial Technology (Fintech),Equity,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
543396,One 97 Communications Limited,PAYTM,One 97 Communications Ltd,Active,A ,1.00,INE982J01020,Financial Technology (Fintech),Equity,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
543397,Sapphire Foods India Limited,SAPPHIRE,Sapphire Foods India Ltd,Active,A ,2.00,INE806T01020,Restaurants,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
543398,Latent View Analytics Limited,LATENTVIEW,Latent View Analytics Ltd,Active,A ,1.00,INE0I7C01011,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
543401,Go Fashion (India) Limited,GOCOLORS,Go Fashion (India) Ltd,Active,A ,10.00,INE0BJS01011,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
543412,Star Health and Allied Insurance Company Limited,STARHEALTH,Star Health and Allied Insurance Company Ltd,Active,A ,10.00,INE575P01011,General Insurance,Equity,Financial Services,Financial Services,Insurance,General Insurance
543413,Tega Industries Limited,TEGA,Tega Industries Ltd,Active,A ,10.00,INE011K01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
543415,Anand Rathi Wealth Limited,ANANDRATHI,Anand Rathi Wealth Ltd,Active,A ,5.00,INE463V01026,Financial Products Distributor,Equity,Financial Services,Financial Services,Capital Markets,Financial Products Distributor
543417,RateGain Travel Technologies Limited,RATEGAIN,RateGain Travel Technologies Ltd,Active,A ,1.00,INE0CLI01024,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
543419,Shriram Properties Limited,SHRIRAMPPS,Shriram Properties Ltd,Active,A ,10.00,INE217L01019,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
543425,C.E. Info Systems Limited,MAPMYINDIA,C.E. Info Systems Ltd,Active,A ,2.00,INE0BV301023,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products
543426,Metro Brands Limited,METROBRAND,Metro Brands Ltd,Active,A ,5.00,INE317I01021,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
543427,Medplus Health Services Limited,MEDPLUS,Medplus Health Services Ltd,Active,A ,2.00,INE804L01022,Pharmacy Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail
543428,Data Patterns (India) Limited,DATAPATTNS,Data Patterns (India) Ltd,Active,A ,2.00,INE0IX101010,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
543441,CMS Info Systems Limited,CMSINFO,CMS Info Systems Ltd,Active,A ,10.00,INE925R01014,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
543458,Adani Wilmar Limited,AWL,Adani Wilmar Ltd,Active,A ,1.00,INE699H01024,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
543463,Vedant Fashions Limited,MANYAVAR,Vedant Fashions Ltd,Active,A ,1.00,INE825V01034,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
543482,Eureka Forbes Limited,EUREKAFORB,Eureka Forbes Ltd,Active,A ,10.00,INE0KCE01017,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
543489,Gateway Distriparks Limited,GATEWAY,Gateway Distriparks Ltd,Active,A ,10.00,INE079J01017,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
543490,GMR Power and Urban Infra Limited,GMRP&UI,GMR Power and Urban Infra Ltd,Active,A ,5.00,INE0CU601026,Power Generation,Equity,Utilities,Power,Power,Power Generation
543498,Motherson Sumi Wiring India Limited,MSUMI,Motherson Sumi Wiring India Ltd,Active,A ,1.00,INE0FS801015,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
